id,title,author,license,gpl_compat,views,likes,date,passes,has_mic,has_music,url
MdjyRm,"Shaderlamp",lherm,No-License,false,46566,53,1491439335,1,true,false,https://www.shadertoy.com/view/MdjyRm
s3l3Wl,"Raymarched mandelbaum reactive",enbe,CC-BY-NC+contact,false,165,9,1778893560,1,true,true,https://www.shadertoy.com/view/s3l3Wl
73s3Wl,"beautiful disaster",enbe,No-License,false,82,5,1779263323,1,true,true,https://www.shadertoy.com/view/73s3Wl
N32Gzz,"Basic Mandala",manUcan,No-License,false,86,6,1779011910,1,true,false,https://www.shadertoy.com/view/N32Gzz
7XBGRR,"QuasiForge",Memetic,No-License,false,90,2,1778954993,2,true,false,https://www.shadertoy.com/view/7XBGRR
MsdBR8,"dancing cubes",sclavel,No-License,false,22589,24,1524089273,2,true,false,https://www.shadertoy.com/view/MsdBR8
X3KcWR,"Genuary 2025 day 5",Kali,No-License,false,3672,78,1736126991,1,true,false,https://www.shadertoy.com/view/X3KcWR
fd2GRw,"Cyber Fuji 2020 audio reactive (Chaotnix fork — not the one we bundled; see Wt33Wf for the CC-BY-3.0 original)",Chaotnix,No-License,false,13288,12,1617135896,1,true,false,https://www.shadertoy.com/view/fd2GRw
7Xj3W1,"DEMO DJ DIABLILLO SHADERVDJ",DJDIABLILLO,No-License,false,33,0,1779503108,1,true,false,https://www.shadertoy.com/view/7Xj3W1
s3jGWD,"Pantalla Flash",DiegoLp,No-License,false,24,0,1779611180,1,true,false,https://www.shadertoy.com/view/s3jGWD
sXj3DW,"Flash ice",DiegoLp,No-License,false,22,0,1779605863,1,true,false,https://www.shadertoy.com/view/sXj3DW
llB3W1,"Fractal Audio 01",relampago2048,No-License,false,23185,112,1428522186,1,true,false,https://www.shadertoy.com/view/llB3W1
4sjfzm,"RYB Color wheel",pthextract,No-License,false,16454,25,1499946053,1,true,true,https://www.shadertoy.com/view/4sjfzm
X3KyRz,"Genuary 2025 #1",Kali,No-License,false,2182,62,1735872761,1,true,false,https://www.shadertoy.com/view/X3KyRz
MtBGRt,"Solines",poljere,No-License,false,16882,98,1434685452,1,true,false,https://www.shadertoy.com/view/MtBGRt
7Xl3Rj,"DNA in the mix :-) Mic reactive.",enbe,No-License,false,75,0,1778342448,1,true,true,https://www.shadertoy.com/view/7Xl3Rj
fcf3WM,"FFT Clock System",ompuco,No-License,false,319,8,1772835494,3,true,false,https://www.shadertoy.com/view/fcf3WM
sXlGzj,"""Music is in the DNA"" forked",enbe,No-License,false,66,3,1778345265,1,true,true,https://www.shadertoy.com/view/sXlGzj
sXsGRj,"Fork RYB Color spiral",enbe,No-License,false,62,3,1778341078,1,true,true,https://www.shadertoy.com/view/sXsGRj
slc3DX,"Oscilloscope music",incription,No-License,false,5456,42,1636823891,3,true,false,https://www.shadertoy.com/view/slc3DX
ff2XzV,"Volume Detector",OttoACS,No-License,false,94,1,1776977410,1,true,false,https://www.shadertoy.com/view/ff2XzV
W3ycDV,"the shader I load up when I'm pl",bombblob,No-License,false,305,5,1770055891,5,true,false,https://www.shadertoy.com/view/W3ycDV
clVGRD,"Ambiant AI.",outofpaper,No-License,false,2937,8,1683653505,1,true,false,https://www.shadertoy.com/view/clVGRD
scjGDd,"Shader Equalizor",ShaderDizzle,No-License,false,152,4,1774817243,1,true,false,https://www.shadertoy.com/view/scjGDd
wffBz8,"silly scope",mmalex,No-License,false,631,6,1757324315,1,true,false,https://www.shadertoy.com/view/wffBz8
ldcfWH,"simpler audiotunnel",sclavel,No-License,false,7116,13,1524869603,1,true,false,https://www.shadertoy.com/view/ldcfWH
wXByDG,"Fork: It is alive...with music 2",bottelini,No-License,false,519,9,1761166134,2,true,false,https://www.shadertoy.com/view/wXByDG
XlS3DD,"spectrum analysor",FabriceNeyret2,No-License,false,9531,32,1428958340,1,true,false,https://www.shadertoy.com/view/XlS3DD
llVcRG,"Psychedelic Music Visualizer 3",yonibr,No-License,false,6527,35,1536805232,1,true,false,https://www.shadertoy.com/view/llVcRG
Xtj3DW,"Twisted Rings",poljere,No-License,false,9312,47,1429548830,1,true,false,https://www.shadertoy.com/view/Xtj3DW
ltB3RK,"Yellow Manypus",poljere,No-License,false,8346,33,1430936470,1,true,false,https://www.shadertoy.com/view/ltB3RK
NdG3zw,"Audio Reactive Galaxy",JelyMe314,No-License,false,3461,43,1631215146,1,true,false,https://www.shadertoy.com/view/NdG3zw
WdfSDr,"Soundshader lines",Airground,No-License,false,5195,28,1551008696,1,true,false,https://www.shadertoy.com/view/WdfSDr
3fGcRV,"Cybertrons Inception ",Bhs,No-License,false,337,10,1764880191,2,true,false,https://www.shadertoy.com/view/3fGcRV
ftV3zK,"chillwave planet",z0rg,CC-BY-NC-SA-3.0,false,3130,39,1638108263,3,true,false,https://www.shadertoy.com/view/ftV3zK
llSGDh,"Input - Microphone",iq,No-License,false,7657,37,1428482235,1,true,false,https://www.shadertoy.com/view/llSGDh
WfVfD3,"Fork spectrum",bombblob,No-License,false,251,2,1767920116,2,true,false,https://www.shadertoy.com/view/WfVfD3
33lyzf,"Fork glow shade DJDIABLILL 615",DJDIABLILLO,No-License,false,402,4,1760537053,1,true,false,https://www.shadertoy.com/view/33lyzf
WfVcRV,"Fork Chiptune ( Bhs 559",Bhs,No-License,false,311,6,1764916688,2,true,false,https://www.shadertoy.com/view/WfVcRV
tslSz7,"Soundshader",Airground,No-License,false,4527,24,1550961603,1,true,false,https://www.shadertoy.com/view/tslSz7
XctBW7,"Synthwave Sunset Mic Visualizer",TheWindowStreamz,No-License,false,901,5,1733169251,1,true,false,https://www.shadertoy.com/view/XctBW7
wfXfz4,"Fork Undulating TeXmExDeX 907",TeXmExDeX,No-License,false,422,7,1757368058,2,true,false,https://www.shadertoy.com/view/wfXfz4
Nc2GDD,"Phantom Recurrence Engine",apocalypse_cow,No-License,false,106,2,1774075166,1,true,false,https://www.shadertoy.com/view/Nc2GDD
WclBRN,"FORK eye of phi (audio reactive)",TeXmExDeX,No-License,false,406,9,1757397802,3,true,false,https://www.shadertoy.com/view/WclBRN
MsGczc,"Revision Qualification 2018-Cupe",nightfox,No-License,false,4484,28,1522775749,4,true,false,https://www.shadertoy.com/view/MsGczc
NfjSRV,"tunnel vis experiment",whut,No-License,false,51,0,1776974411,3,true,false,https://www.shadertoy.com/view/NfjSRV
33jcRR,"Waveform Microphone",belisoful,No-License,false,316,11,1760572565,2,true,false,https://www.shadertoy.com/view/33jcRR
lt23W1,"mic analysis",FabriceNeyret2,No-License,false,5648,44,1428743806,1,true,false,https://www.shadertoy.com/view/lt23W1
McSBRy,"Fork SoundEclip SwagLordLa 430",SwagLordLancalot,No-License,false,858,6,1725133099,1,true,false,https://www.shadertoy.com/view/McSBRy
Mt23zz,"ngPsy1",netgrind,No-License,false,5506,36,1426722269,1,true,false,https://www.shadertoy.com/view/Mt23zz
43cGDs,"starfield visualizer",technowizard,No-License,false,977,10,1717112655,1,true,false,https://www.shadertoy.com/view/43cGDs
wfsXDl,"iridescent ribbons",evesira,No-License,false,586,10,1741472423,3,true,false,https://www.shadertoy.com/view/wfsXDl
w3yBD1,"Delta Final BG",JustMoon,No-License,false,127,1,1771588245,1,true,false,https://www.shadertoy.com/view/w3yBD1
