id,title,license,gpl_compat,views,likes,date,passes,has_mic,has_music,input_types,url
XfyXRV,"Let's self reflect",CC0,true,61384,450,1715422910,1,false,false,,https://www.shadertoy.com/view/XfyXRV
wsjBD3,"A battered alien planet",CC0,true,45483,79,1591024904,1,false,false,,https://www.shadertoy.com/view/wsjBD3
wsBBWD,"Spiral galaxy",CC0,true,43623,82,1590057425,1,false,false,,https://www.shadertoy.com/view/wsBBWD
WtXyW4,"Alien Waterworld",CC0,true,30337,66,1592052399,1,false,false,,https://www.shadertoy.com/view/WtXyW4
43jXWt,"Saturday weirdness",CC0,true,29457,171,1711228362,3,false,false,buffer,https://www.shadertoy.com/view/43jXWt
stBcW1,"Stars and galaxy",CC0,true,25038,193,1649601106,1,false,false,,https://www.shadertoy.com/view/stBcW1
7d2fDW,"Appolloian with a twist II",CC0,true,23135,86,1646339794,1,false,false,,https://www.shadertoy.com/view/7d2fDW
MfjyWK,"Starry planes",CC0,true,22846,300,1723022633,1,false,false,,https://www.shadertoy.com/view/MfjyWK
mtScRc,"Inside the mandelbulb II",CC0,true,21181,329,1692095316,2,false,false,buffer,https://www.shadertoy.com/view/mtScRc
slcXW8,"Synthwave canyon",CC0,true,20454,68,1638993692,1,false,false,,https://www.shadertoy.com/view/slcXW8
ttSGRc,"Flat water effects",No-License,false,20417,66,1560459624,1,false,false,,https://www.shadertoy.com/view/ttSGRc
Wl2Gzc,"Flat water effects 2",No-License,false,19965,38,1560550686,1,false,false,,https://www.shadertoy.com/view/Wl2Gzc
3XdXRr,"Just another cube",CC0,true,17485,246,1753088565,1,false,false,,https://www.shadertoy.com/view/3XdXRr
mlBSWc,"Colorful underwater bubbles II",MIT,true,16381,97,1676667839,1,false,true,musicstream,https://www.shadertoy.com/view/mlBSWc
DldXDX,"Sunrise on saturn",CC0,true,16275,203,1685821758,3,false,false,buffer,https://www.shadertoy.com/view/DldXDX
flGyDd,"Refraction + post proc",CC0,true,15820,166,1662408326,3,false,false,buffer,https://www.shadertoy.com/view/flGyDd
7lKSWW,"Truchet + Kaleidoscope FTW",CC0,true,15206,271,1640723365,1,false,false,,https://www.shadertoy.com/view/7lKSWW
WfcGWj,"Trailing the Twinkling Tunnel ..",CC0,true,14266,327,1747485517,2,false,false,,https://www.shadertoy.com/view/WfcGWj
33cGDj,"Clearly a bug",CC0,true,13879,232,1751706034,1,false,false,,https://www.shadertoy.com/view/33cGDj
7dyyRy,"Neonwave sunrise",CC0,true,13231,215,1655060306,1,false,true,musicstream,https://www.shadertoy.com/view/7dyyRy
NdKyDw,"Hex marching",CC0,true,12709,254,1654970647,3,false,false,buffer,https://www.shadertoy.com/view/NdKyDw
3ttGRs,"Gnarly Apollian Tree",No-License,false,10839,103,1577269165,1,false,false,,https://www.shadertoy.com/view/3ttGRs
lX2GzD,"MountainBytes: PPPP 4KiB Windows",CC0,true,10453,158,1708276331,4,false,true,buffer|musicstream,https://www.shadertoy.com/view/lX2GzD
lttBzN,"a study of glass",No-License,false,10219,170,1538908235,1,false,true,musicstream,https://www.shadertoy.com/view/lttBzN
cdV3DW,"Electric Eel Universe",CC0,true,8911,138,1678542084,1,false,false,,https://www.shadertoy.com/view/cdV3DW
ddcGW8,"For the neon style enjoyers",CC0,true,8661,161,1677182872,1,false,true,musicstream,https://www.shadertoy.com/view/ddcGW8
ctd3Rl,"AI not included",CC0,true,8524,156,1682944354,1,false,false,,https://www.shadertoy.com/view/ctd3Rl
Wl3fzM,"Apollian with a twist",CC0,true,6885,225,1612391093,1,false,false,,https://www.shadertoy.com/view/Wl3fzM
ftXXWX,"Cable nest",CC0,true,6012,99,1626634908,1,false,false,,https://www.shadertoy.com/view/ftXXWX
tfK3Dy,"4D Beats",CC0,true,5696,185,1748508209,1,false,true,music,https://www.shadertoy.com/view/tfK3Dy
NtcyDn,"Wednesday messing around",CC0,true,5641,111,1659531971,1,false,false,,https://www.shadertoy.com/view/NtcyDn
fd33zn,"Saturday Torus",CC0,true,5267,110,1628948950,1,false,false,,https://www.shadertoy.com/view/fd33zn
fdlSDl,"Cloudy crystal",CC0,true,4753,144,1619458567,1,false,false,,https://www.shadertoy.com/view/fdlSDl
mslfR2,"More ""cubes"" for the cube lovers",CC0,true,4738,78,1688974919,1,false,true,musicstream,https://www.shadertoy.com/view/mslfR2
DdSGzy,"Another windows terminal shader",CC0,true,4713,52,1667765958,1,false,false,,https://www.shadertoy.com/view/DdSGzy
3t2czh,"Warped Liquid Metal",CC0,true,4502,110,1593721238,1,false,false,,https://www.shadertoy.com/view/3t2czh
7dtcRj,"Neonwave Sunset",CC0,true,4425,74,1653767670,1,false,true,musicstream,https://www.shadertoy.com/view/7dtcRj
ftGfDK,"Saturday cubism experiment",CC0,true,4387,98,1665221439,1,false,false,,https://www.shadertoy.com/view/ftGfDK
NtXSzl,"Moving without travelling",CC0,true,4376,44,1626261436,1,false,true,musicstream,https://www.shadertoy.com/view/NtXSzl
DlB3WG,"Mind flowers",CC0,true,3591,96,1673809487,1,false,true,musicstream,https://www.shadertoy.com/view/DlB3WG
ddjcWh,"Sunday morning random results",CC0,true,2407,109,1687679270,1,false,false,,https://www.shadertoy.com/view/ddjcWh
ds2XRt,"Reflective hexes",CC0,true,2387,88,1670756075,1,false,false,,https://www.shadertoy.com/view/ds2XRt
mtVSDy,"Computers were made for cubes",CC0,true,2386,70,1686340350,1,false,false,,https://www.shadertoy.com/view/mtVSDy
tdScD1,"Psychedelic Dodec experiment",CC0,true,2372,43,1586539198,1,false,false,,https://www.shadertoy.com/view/tdScD1
ddfyD7,"Complicating things even further",CC0,true,2348,78,1686858466,1,false,true,musicstream,https://www.shadertoy.com/view/ddfyD7
cdccRl,"Oversaturated web",CC0,true,2297,44,1695324560,1,false,true,musicstream,https://www.shadertoy.com/view/cdccRl
sdKcDz,"Face in the clouds",CC0,true,2278,36,1654721292,1,false,true,musicstream,https://www.shadertoy.com/view/sdKcDz
wtBcRW,"Alien Skin",CC0,true,2244,27,1593800739,1,false,false,,https://www.shadertoy.com/view/wtBcRW
7tfSzB,"Mandelbox variant no 1E6",CC0,true,2200,55,1625947532,1,false,false,,https://www.shadertoy.com/view/7tfSzB
flKfzh,"Windows Terminal Damask Rose",CC0,true,2167,68,1664050647,1,false,false,,https://www.shadertoy.com/view/flKfzh
DsXcWn,"Overcomplicating things",CC0,true,2158,42,1686686895,1,false,false,,https://www.shadertoy.com/view/DsXcWn
tslBW7,"Fortress Harkonnen",CC0,true,2155,40,1588421175,1,false,true,musicstream,https://www.shadertoy.com/view/tslBW7
csSSWc,"Neon city for Windows Terminal",CC0,true,2155,35,1670962902,1,false,false,,https://www.shadertoy.com/view/csSSWc
ftGcD3,"Inside the mandelbulb",CC0,true,2119,56,1662296981,1,false,false,,https://www.shadertoy.com/view/ftGcD3
WlByzy,"Neonwave style",CC0,true,2078,21,1594640245,1,false,false,,https://www.shadertoy.com/view/WlByzy
NlSSDG,"DragonEye II",CC0,true,2077,59,1628452763,1,false,false,,https://www.shadertoy.com/view/NlSSDG
dtSGWh,"Rainbow smith cells",CC0,true,2064,77,1673207863,1,false,false,,https://www.shadertoy.com/view/dtSGWh
WsjyWm,"Disco Star Tunnel",CC0,true,2056,54,1586774850,1,false,false,,https://www.shadertoy.com/view/WsjyWm
fdXXR4,"Starry background with nebula",CC0,true,2039,23,1618301095,1,false,false,,https://www.shadertoy.com/view/fdXXR4
NdVfzK,"Monterey wannabe",CC0,true,2036,46,1658498183,1,false,false,,https://www.shadertoy.com/view/NdVfzK
NlcSRB,"Mandala flowers",WTFPL,true,2007,84,1639299234,1,false,false,,https://www.shadertoy.com/view/NlcSRB
clVXWt,"A cube for the cube enjoyers",CC0,true,1998,50,1686474998,1,false,false,,https://www.shadertoy.com/view/clVXWt
7sSfRG,"Voronoi Glass Panes",CC0,true,1993,54,1646512521,1,false,false,,https://www.shadertoy.com/view/7sSfRG
DtGGRd,"CC0: Atans begone!",CC0,true,1965,43,1684415212,1,false,true,musicstream,https://www.shadertoy.com/view/DtGGRd
ctlyzN,"Travelling to Neon-Giza",CC0,true,2915,71,1690471249,3,false,true,buffer|musicstream,https://www.shadertoy.com/view/ctlyzN
wl2yzt,"Flying through psychedelic mist",CC0,true,2704,43,1595152447,1,false,false,,https://www.shadertoy.com/view/wl2yzt
sdSSzz,"Crystal skull",CC0,true,2619,59,1619543127,1,false,false,,https://www.shadertoy.com/view/sdSSzz
sd2GWD,"Hex tile transition effect",CC0,true,2526,48,1617460465,1,false,false,,https://www.shadertoy.com/view/sd2GWD
csfXzN,"Sea and moon",CC0,true,2456,45,1668551305,1,false,false,,https://www.shadertoy.com/view/csfXzN
DtBSRh,"Colorful star travelling",CC0,true,2455,68,1675626055,1,false,false,,https://www.shadertoy.com/view/DtBSRh
WlcfRS,"Golden apollian",CC0,true,2448,89,1612911149,1,false,false,,https://www.shadertoy.com/view/WlcfRS
WdVfRh,"Smooth Kaleidoscope 2",CC0,true,2421,35,1606575713,1,false,false,,https://www.shadertoy.com/view/WdVfRh
DsccRS,"Tuesday tinkering",CC0,true,1929,52,1695155833,1,false,false,,https://www.shadertoy.com/view/DsccRS
dsc3RS,"We need an expert.. Dave Hoskins",CC0,true,1927,53,1677444021,1,false,true,texture|music,https://www.shadertoy.com/view/dsc3RS
sl3Bz7,"Saturday Torus III",CC0,true,1898,44,1662817730,1,false,false,,https://www.shadertoy.com/view/sl3Bz7
NsKyDG,"Infinite hexes background",CC0,true,1882,49,1655499653,1,false,false,,https://www.shadertoy.com/view/NsKyDG
3ljyDD,"Hexagonal tiling + cog wheels",CC0,true,1861,54,1594399136,1,false,false,,https://www.shadertoy.com/view/3ljyDD
XctGzf,"Attempt at VDJ effects",CC0,true,1826,37,1711981059,1,false,true,musicstream,https://www.shadertoy.com/view/XctGzf
dtfSzs,"Techno-plankton in alien ocean",CC0,true,1823,65,1675196263,1,false,false,,https://www.shadertoy.com/view/dtfSzs
4cyXWw,"Gravity sucks",CC0,true,1811,59,1715232669,1,false,false,,https://www.shadertoy.com/view/4cyXWw
flfXDn,"Retro cube effect with twist",CC0,true,1808,30,1625421836,1,false,true,musicstream,https://www.shadertoy.com/view/flfXDn
3d2fDw,"Planet Shader",CC0,true,1792,28,1590167107,1,false,false,,https://www.shadertoy.com/view/3d2fDw
wtKfDD,"Vorofbm",CC0,true,1767,34,1614373123,1,false,false,,https://www.shadertoy.com/view/wtKfDD
csB3D1,"Gnarly colorful apollonian ",CC0,true,1763,78,1667514946,1,false,false,,https://www.shadertoy.com/view/csB3D1
fsffDS,"Spiral ""domain mapping""",CC0,true,1760,31,1645278432,1,false,false,,https://www.shadertoy.com/view/fsffDS
ct2GDK,"Example for Windows Terminal",CC0,true,1760,5,1673945675,1,false,false,,https://www.shadertoy.com/view/ct2GDK
ss2Szm,"Sunday Threads",CC0,true,1714,38,1619960548,1,false,false,,https://www.shadertoy.com/view/ss2Szm
tlcBWH,"Tunneling through apollian frac",CC0,true,1711,35,1612623360,1,false,false,,https://www.shadertoy.com/view/tlcBWH
NdyyW3,"""Rasterbars"" in 2022",CC0,true,1710,41,1655673345,1,false,false,,https://www.shadertoy.com/view/NdyyW3
cscyDf,"Saturday hacking",CC0,true,1685,67,1695560993,1,false,true,musicstream,https://www.shadertoy.com/view/cscyDf
3lyBRt,"Tribute to my old Atari",CC0,true,1652,18,1614814743,1,false,true,musicstream,https://www.shadertoy.com/view/3lyBRt
msKGzR,"Ghost train",CC0,true,1643,49,1678133549,1,false,false,,https://www.shadertoy.com/view/msKGzR
dt3GDl,"Levels jerry, levels!",CC0,true,1641,59,1683308114,1,false,false,,https://www.shadertoy.com/view/dt3GDl
wl2yRm,"Impulse backdrop",CC0,true,1639,20,1594040022,1,false,false,,https://www.shadertoy.com/view/wl2yRm
sl3yRM,"Time for some inner reflections",CC0,true,1635,51,1659443883,1,false,false,,https://www.shadertoy.com/view/sl3yRM
fllSD8,"Psychedelic Eye",CC0,true,1634,24,1625589701,1,false,true,musicstream,https://www.shadertoy.com/view/fllSD8
dtBSRV,"Colorful bubbles underwater",CC0,true,1619,24,1676317562,1,false,true,musicstream,https://www.shadertoy.com/view/dtBSRV
WtGfR1,"Smooth koch coordinate transform",CC0,true,1607,39,1613835703,1,false,false,,https://www.shadertoy.com/view/WtGfR1
7tGcRV,"Beat boxing",CC0,true,1604,25,1661810223,1,false,true,musicstream,https://www.shadertoy.com/view/7tGcRV
wl3fR7,"Slicing a 4D apollian",CC0,true,1601,37,1612423823,1,false,false,,https://www.shadertoy.com/view/wl3fR7
sdsBWs,"More colors, more spirals",CC0,true,1600,45,1645566734,1,false,false,,https://www.shadertoy.com/view/sdsBWs
